Name,Position,Team,URL
Loïc Bade,DF,Sevilla,/en/players/114bbdee/Loic-Bade
Loïc Bade,DF,Rennes,/en/players/114bbdee/Loic-Bade
Édgar Badía,GK,Elche,/en/players/e4346678/Edgar-Badia
Benoît Badiashile,DF,Chelsea,/en/players/06df8256/Benoit-Badiashile
Benoît Badiashile,DF,Monaco,/en/players/06df8256/Benoit-Badiashile
Alex Baena,MF,Villarreal,/en/players/518f2234/Alex-Baena
Jaime Báez,DF,Cremonese,/en/players/dfd24c07/Jaime-Baez
Leon Bailey,FW,Aston Villa,/en/players/3a233281/Leon-Bailey
Eric Bailly,DF,Marseille,/en/players/a1232f4e/Eric-Bailly
Dénys Bain,DF,Auxerre,/en/players/5065d67d/Denys-Bain
Brandon Baiye,MF,Clermont Foot,/en/players/7e3e825e/Brandon-Baiye
Stefan Bajcetic,MF,Liverpool,/en/players/32e8417f/Stefan-Bajcetic
Nedim Bajrami,MF,Empoli,/en/players/f42d6c13/Nedim-Bajrami
Cédric Bakambu,MF,Marseille,/en/players/0af4dcf0/Cedric-Bakambu
Mitchel Bakker,MF,Leverkusen,/en/players/a8567629/Mitchel-Bakker
Ridle Baku,DF,Wolfsburg,/en/players/442b56fa/Ridle-Baku
Tommaso Baldanzi,MF,Empoli,/en/players/102e2599/Tommaso-Baldanzi
Alejandro Balde,DF,Barcelona,/en/players/5ccc9672/Alejandro-Balde
Thierno Balde,DF,Troyes,/en/players/3975195f/Thierno-Balde
Carlos Baleba,MF,Lille,/en/players/a1390d2f/Carlos-Baleba
Mikel Balenziaga,DF,Athletic Club,/en/players/1fe67e86/Mikel-Balenziaga
Leonardo Balerdi,DF,Marseille,/en/players/7c3ed041/Leonardo-Balerdi
Iván Balliu,DF,Rayo Vallecano,/en/players/cee88597/Ivan-Balliu
Fodé Ballo-Touré,DF,Milan,/en/players/f449640d/Fode-Ballo-Toure
Folarin Balogun,FW,Reims,/en/players/31822f8c/Folarin-Balogun
Abdoulaye Bamba,DF,Angers,/en/players/7fecbcdb/Abdoulaye-Bamba
Jonathan Bamba,FW,Lille,/en/players/b2bd0f6c/Jonathan-Bamba
Patrick Bamford,FW,Leeds United,/en/players/93feac6e/Patrick-Bamford
Lameck Banda,FW,Lecce,/en/players/8a6de8c7/Lameck-Banda
Filippo Bandinelli,MF,Empoli,/en/players/d44360be/Filippo-Bandinelli
Léo Baptistão,FW,Almería,/en/players/35f6db55/Leo-Baptistao
Shandon Baptiste,MF,Brentford,/en/players/2886c9b5/Shandon-Baptiste
Antonín Barák,MF,Hellas Verona,/en/players/01efac19/Antonin-Barak
Antonín Barák,MF,Fiorentina,/en/players/01efac19/Antonin-Barak
Andrea Barberis,MF,Monza,/en/players/32ebfe1e/Andrea-Barberis
Bradley Barcola,FW,Lyon,/en/players/a0d55a09/Bradley-Barcola
Melvin Bard,DF,Nice,/en/players/1ddbc7ca/Melvin-Bard
Keidi Bare,MF,Espanyol,/en/players/03049c8c/Keidi-Bare
Nicolò Barella,MF,Inter,/en/players/6928979a/Nicolo-Barella
Kike Barja,MF,Osasuna,/en/players/aad53e64/Kike-Barja
Ross Barkley,MF,Nice,/en/players/3a24769f/Ross-Barkley
Aymen Barkok,MF,Mainz 05,/en/players/a2a85828/Aymen-Barkok
Harvey Barnes,MF,Leicester City,/en/players/3ea50f67/Harvey-Barnes
Leandro Barreiro Martins,MF,Mainz 05,/en/players/00242b75/Leandro-Barreiro-Martins
Ander Barrenetxea,FW,Real Sociedad,/en/players/200e89e1/Ander-Barrenetxea
Mickaël Barreto,MF,Ajaccio,/en/players/e3844ecb/Mickael-Barreto
Pablo Barrios,MF,Atlético Madrid,/en/players/45736cec/Pablo-Barrios
Musa Barrow,FW,Bologna,/en/players/e5bf73f3/Musa-Barrow
Federico Baschirotto,DF,Lecce,/en/players/5a08ee41/Federico-Baschirotto
Toma Bašić,MF,Lazio,/en/players/80556f08/Toma-Basic
Alessandro Bastoni,DF,Inter,/en/players/75b86fb3/Alessandro-Bastoni
Simone Bastoni,MF,Spezia,/en/players/1ac232b8/Simone-Bastoni
Rodrigo Battaglia,MF,Mallorca,/en/players/d637fc22/Rodrigo-Battaglia
Maximilian Bauer,DF,Augsburg,/en/players/44a20f0c/Maximilian-Bauer
Oliver Baumann,GK,Hoffenheim,/en/players/47064058/Oliver-Baumann
Timo Baumgartl,DF,Union Berlin,/en/players/bd7d2e6d/Timo-Baumgartl
Julian Baumgartlinger,MF,Augsburg,/en/players/69374ff5/Julian-Baumgartlinger
Christoph Baumgartner,MF,Hoffenheim,/en/players/437f2b00/Christoph-Baumgartner
Cyrille Bayala,MF,Ajaccio,/en/players/20e0dd86/Cyrille-Bayala
Gavin Bazunu,GK,Southampton,/en/players/c91441dc/Gavin-Bazunu
Bebé,FW,Rayo Vallecano,/en/players/d8712bf9/Bebe
Rodrigo Becão,DF,Udinese,/en/players/19e4eab9/Rodrigo-Becao
Mads Bech Sørensen,DF,Brentford,/en/players/30db8574/Mads-Bech-Sorensen
Julius Beck,MF,Spezia,/en/players/e892c325/Julius-Beck
Sheraldo Becker,FW,Union Berlin,/en/players/8eb55dbb/Sheraldo-Becker
Jan Bednarek,DF,Southampton,/en/players/4115ce4e/Jan-Bednarek
Jan Bednarek,DF,Aston Villa,/en/players/4115ce4e/Jan-Bednarek
Donny van de Beek,MF,Manchester Utd,/en/players/50dc94ce/Donny-van-de-Beek
Asmir Begović,GK,Everton,/en/players/7b4de647/Asmir-Begovic
Yanis Begraoui,FW,Toulouse,/en/players/5e6355f8/Yanis-Begraoui
Kevin Behrens,FW,Union Berlin,/en/players/30ae134d/Kevin-Behrens
Alexis Beka Beka,MF,Nice,/en/players/4a5e83ad/Alexis-Beka-Beka
Jérémie Bela,DF,Clermont Foot,/en/players/5680bf3f/Jeremie-Bela
Youcef Belaïli,MF,Ajaccio,/en/players/1a248246/Youcef-Belaili
Youcef Belaïli,FW,Brest,/en/players/1a248246/Youcef-Belaili
Haris Belkebla,MF,Brest,/en/players/2b1bed19/Haris-Belkebla
Stefan Bell,DF,Mainz 05,/en/players/857a5abe/Stefan-Bell
Armel Bella Kotchap,DF,Southampton,/en/players/a39d11bc/Armel-Bella-Kotchap
Raoul Bellanova,DF,Inter,/en/players/e3756e72/Raoul-Bellanova
Karim Bellarabi,FW,Leverkusen,/en/players/bee0bab1/Karim-Bellarabi
Jean-Ricner Bellegarde,MF,Strasbourg,/en/players/10f0fdd3/Jean-Ricner-Bellegarde
Héctor Bellerín,DF,Barcelona,/en/players/f874dd44/Hector-Bellerin
Jude Bellingham,MF,Dortmund,/en/players/57d88cf9/Jude-Bellingham
Andrea Belotti,FW,Roma,/en/players/d705ba44/Andrea-Belotti
Fran Beltrán,MF,Celta Vigo,/en/players/ed5c5fa3/Fran-Beltran
Eliesse Ben Seghir,FW,Monaco,/en/players/3bd65247/Eliesse-Ben-Seghir
Salim Ben Seghir,MF,Marseille,/en/players/1f6298f2/Salim-Ben-Seghir
Wissam Ben Yedder,FW,Monaco,/en/players/942b4f90/Wissam-Ben-Yedder
Marco Benassi,DF,Fiorentina,/en/players/0000acda/Marco-Benassi
Ismaël Bennacer,MF,Milan,/en/players/db092d3b/Ismael-Bennacer
Saïd Benrahma,FW,West Ham,/en/players/5a04fd92/Said-Benrahma
Ramy Bensebaini,DF,M'Gladbach,/en/players/378825c7/Ramy-Bensebaini
Nabil Bentaleb,MF,Angers,/en/players/3189f61a/Nabil-Bentaleb
Rodrigo Bentancur,MF,Tottenham,/en/players/3b8674e6/Rodrigo-Bentancur
Karim Benzema,FW,Real Madrid,/en/players/70d74ece/Karim-Benzema
Domenico Berardi,FW,Sassuolo,/en/players/53a0e358/Domenico-Berardi
Yuri Berchiche,DF,Athletic Club,/en/players/b6e50615/Yuri-Berchiche
Álex Berenguer,FW,Athletic Club,/en/players/dc1c2fce/Alex-Berenguer
Bartosz Bereszyński,DF,Sampdoria,/en/players/61b3978f/Bartosz-Bereszynski
Patrick Berg,MF,Lens,/en/players/e4114f5d/Patrick-Berg
Mitchell van Bergen,FW,Reims,/en/players/0b2c9aec/Mitchell-van-Bergen
Mergim Berisha,FW,Augsburg,/en/players/eb6e14be/Mergim-Berisha
Quentin Bernard,DF,Auxerre,/en/players/3916b09c/Quentin-Bernard
Paul Bernardoni,GK,Angers,/en/players/28dabd43/Paul-Bernardoni
Juan Bernat,DF,Paris S-G,/en/players/433dc9a2/Juan-Bernat
Jason Berthomier,MF,Clermont Foot,/en/players/03e91055/Jason-Berthomier
Beto,FW,Udinese,/en/players/ed5c0319/Beto
Owen Bevan,DF,Bournemouth,/en/players/87966294/Owen-Bevan
Matteo Bianchetti,DF,Cremonese,/en/players/b3a20f18/Matteo-Bianchetti
Alessandro Bianco,MF,Fiorentina,/en/players/d65cf468/Alessandro-Bianco
Giulian Biancone,DF,Nott'ham Forest,/en/players/de40e38c/Giulian-Biancone
Pedro Bigas,DF,Elche,/en/players/697295b1/Pedro-Bigas
Jaka Bijol,DF,Udinese,/en/players/6fdac234/Jaka-Bijol
El Bilal Touré,FW,Almería,/en/players/47c609d5/El-Bilal-Toure
El Bilal Touré,FW,Reims,/en/players/47c609d5/El-Bilal-Toure
Philip Billing,MF,Bournemouth,/en/players/d328a254/Philip-Billing
Jean-Claude Billong,MF,Clermont Foot,/en/players/a3e1d20d/Jean-Claude-Billong
Cristiano Biraghi,DF,Fiorentina,/en/players/9e1577aa/Cristiano-Biraghi
Samuele Birindelli,DF,Monza,/en/players/204ac005/Samuele-Birindelli
Veljko Birmančević,FW,Toulouse,/en/players/636247ca/Veljko-Birmancevic
Tom Bischof,FW,Hoffenheim,/en/players/07d3bfec/Tom-Bischof
Yves Bissouma,MF,Tottenham,/en/players/6c203af0/Yves-Bissouma
Kristijan Bistrović,MF,Lecce,/en/players/79370f8c/Kristijan-Bistrovic
Leonardo Bittencourt,MF,Werder Bremen,/en/players/dc62fbee/Leonardo-Bittencourt
Marco Bizot,GK,Brest,/en/players/3d214e5f/Marco-Bizot
Blanco,MF,Cádiz,/en/players/506daeac/Blanco
Lautaro Blanco,MF,Elche,/en/players/1657f448/Lautaro-Blanco
Rubén Blanco,GK,Marseille,/en/players/967f34d3/Ruben-Blanco
Ludovic Blas,MF,Nantes,/en/players/6191093d/Ludovic-Blas
Janis Blaswich,GK,RB Leipzig,/en/players/663e080e/Janis-Blaswich
Miha Blažič,DF,Angers,/en/players/3cdfc63e/Miha-Blazic
Joaquín Blázquez,GK,Brest,/en/players/6a9e4913/Joaquin-Blazquez
Alexis Blin,MF,Lecce,/en/players/c69ef855/Alexis-Blin
Myron Boadu,FW,Monaco,/en/players/5b479568/Myron-Boadu
Jérôme Boateng,DF,Lyon,/en/players/2db2fd7b/Jerome-Boateng
Kevin-Prince Boateng,MF,Hertha BSC,/en/players/f4ec4fd0/Kevin-Prince-Boateng
Antonin Bobichon,MF,Angers,/en/players/7d937aa1/Antonin-Bobichon
Jean-Paul Boëtius,MF,Hertha BSC,/en/players/635f2732/Jean-Paul-Boetius
Jeremie Boga,FW,Atalanta,/en/players/fe012aca/Jeremie-Boga
Emil Bohinen,MF,Salernitana,/en/players/c83c203f/Emil-Bohinen
Quentin Boisgard,MF,Lorient,/en/players/f6496133/Quentin-Boisgard
Willy Boly,DF,Nott'ham Forest,/en/players/a4ac4b8f/Willy-Boly
Giacomo Bonaventura,MF,Fiorentina,/en/players/d995ed27/Giacomo-Bonaventura
Federico Bonazzoli,FW,Salernitana,/en/players/bf57eaab/Federico-Bonazzoli
Warren Bondo,MF,Monza,/en/players/0def2376/Warren-Bondo
Theo Bongonda,MF,Cádiz,/en/players/0da6a13e/Theo-Bongonda
Kevin Bonifazi,DF,Bologna,/en/players/fb77bfef/Kevin-Bonifazi
Leonardo Bonucci,DF,Juventus,/en/players/52ec54d0/Leonardo-Bonucci
Neto Borges,DF,Clermont Foot,/en/players/9f936061/Neto-Borges
Yvandro Borges Sanches,FW,M'Gladbach,/en/players/36578017/Yvandro-Borges-Sanches
Sebastiaan Bornauw,DF,Wolfsburg,/en/players/01834aa0/Sebastiaan-Bornauw
Rafael Borré,FW,Eint Frankfurt,/en/players/c68da769/Rafael-Borre
Erik Botheim,FW,Salernitana,/en/players/3d13d9e4/Erik-Botheim
Sven Botman,DF,Newcastle Utd,/en/players/ccce7025/Sven-Botman
Kenji-Van Boto,DF,Auxerre,/en/players/c03b7266/Kenji-Van-Boto
Kouamé Botué,FW,Ajaccio,/en/players/65fcf987/Kouame-Botue
Badredine Bouanani,MF,Nice,/en/players/0400dd2f/Badredine-Bouanani
Hicham Boudaoui,MF,Nice,/en/players/f9d5908e/Hicham-Boudaoui
Franci Bouebari,DF,Strasbourg,/en/players/4fb18ca4/Franci-Bouebari
Sofiane Boufal,FW,Angers,/en/players/b0c71810/Sofiane-Boufal
Wassim Boullif,DF,Espanyol,/en/players/7f271d74/Wassim-Boullif
Yassine Bounou,GK,Sevilla,/en/players/f6798fc3/Yassine-Bounou
Ismaëlben Boura,DF,Lens,/en/players/62e02107/Ismaelben-Boura
Mehdi Bourabia,MF,Spezia,/en/players/0d077b88/Mehdi-Bourabia
Benjamin Bourigeaud,MF,Rennes,/en/players/20e73fac/Benjamin-Bourigeaud
Edoardo Bove,MF,Roma,/en/players/ae94a6c5/Edoardo-Bove
Jarrod Bowen,FW,West Ham,/en/players/79c84d1c/Jarrod-Bowen
Lucas Boyé,FW,Elche,/en/players/d49f3e6b/Lucas-Boye
Domagoj Bradarić,DF,Salernitana,/en/players/8bbe2df5/Domagoj-Bradaric
Bilal Brahimi,MF,Nice,/en/players/02bcaf8e/Bilal-Brahimi
Martin Braithwaite,FW,Espanyol,/en/players/fd771f95/Martin-Braithwaite
Juan Brandáriz,DF,Almería,/en/players/2475cf9b/Juan-Brandariz
Julian Brandt,FW,Dortmund,/en/players/a167537f/Julian-Brandt
Darko Brašanac,MF,Osasuna,/en/players/4accb7e0/Darko-Brasanac
Lilian Brassier,DF,Brest,/en/players/5b146df3/Lilian-Brassier
Claudio Bravo,GK,Betis,/en/players/10072610/Claudio-Bravo
Josip Brekalo,MF,Wolfsburg,/en/players/d4a2533d/Josip-Brekalo
Gleison Bremer,DF,Juventus,/en/players/5fd5ed86/Gleison-Bremer
Armando Broja,FW,Chelsea,/en/players/97220da2/Armando-Broja
Dylan Bronn,DF,Salernitana,/en/players/edd81e2a/Dylan-Bronn
Marcelo Brozović,MF,Inter,/en/players/33b8d077/Marcelo-Brozovic
Cédric Brunner,DF,Schalke 04,/en/players/f0a37d36/Cedric-Brunner
Lewis Brunt,DF,Leicester City,/en/players/a2081c6b/Lewis-Brunt
Jacob Bruun Larsen,FW,Hoffenheim,/en/players/4e204552/Jacob-Bruun-Larsen
Andreas Bruus,DF,Troyes,/en/players/b088d5d3/Andreas-Bruus
Bryan,MF,Tottenham,/en/players/7b5ab7f2/Bryan
Joe Bryan,MF,Nice,/en/players/af69e7f0/Joe-Bryan
Lee Buchanan,DF,Werder Bremen,/en/players/45e95f21/Lee-Buchanan
Ante Budimir,FW,Osasuna,/en/players/8f3565b3/Ante-Budimir
Emi Buendía,MF,Aston Villa,/en/players/66b76d44/Emi-Buendia
Hugo Bueno,DF,Wolves,/en/players/bfc3b3a0/Hugo-Bueno
Santiago Bueno,DF,Girona,/en/players/edc98fac/Santiago-Bueno
Adam Buksa,FW,Lens,/en/players/3b676989/Adam-Buksa
Marius Bülter,FW,Schalke 04,/en/players/ab5b7dc1/Marius-Bulter
